name,address,lat,lon,ElecDayVotes,EarlyVotes,BallotsCast,WaitTimeHr
Hall of Records,155 Nelson Avenue Oroville CA 95965,39.52348,-121.56902,,,,
California State University Chico - Bell Memorial Union (BMU),W. 2nd Street Chico CA 95928,39.72682,-121.84558,,,,
Paradise Pines Association,14211 Wycliff Way Magalia CA 95954,39.82527,-121.60547,,,,
Chico Masonic Lodge,1110 W East Avenue Chico CA 95926,39.7457,-121.88166,,,,
Silver Dollar Fairgrounds,2357 Fair Street Chico CA 95928,39.71668,-121.81221,,,,
Our Divine Savior Catholic Church,566 E Lassen Ave. Chico CA 95973,39.7662,-121.85775,,,,
The Terraces,2750 Sierra Sunrise Terrace Chico CA 95928,39.74473,-121.78493,,,,
Durham Veterans Hall,9319 Midway Durham CA 95938,39.64264,-121.79929,,,,
Lake Oroville Golf & Event Center,5131 Royal Oaks Drive Oroville CA 95966,39.53247,-121.47241,,,,
Southside Community Center,2959 Lower Wyandotte Road Oroville CA 95966,39.49935,-121.53723,,,,
Palermo Union School District,5737 Autrey Ln. Palermo CA 95968,39.47548,-121.53495,,,,
Gridley Veterans Hall,267 Sycamore Street Gridley CA 95948,39.36449,-121.69011,,,,
Terry Ashe Recreation Center,6626 Skyway Rd Paradise 95969,39.7608,-121.62212,,,,
