name,address,lat,lon
FIRST MEXICAN BAPTIST CHURCH,1041 H ST  BRAWLEY 92227,32.97664,-115.52541
HEBER ELEMENTARY SCHOOL,1052 HEBER AVE  HEBER 92249,32.72605,-115.52888
CALEXICO METHODIST CHURCH,1070 BLAIR AVE  CALEXICO 92231,32.67844,-115.4903
IMPERIAL COUNTY AIRPORT,1099 AIRPORT RD  IMPERIAL 92251,32.8352,-115.5724
HEBER COMMUNITY CENTER,1132 HEBER AVE  HEBER 92249,32.73356,-115.5297
MC KINLEY SCHOOL,1177 N 8TH ST  EL CENTRO 92243,32.80266,-115.55972
W MORENO JR HS,1202 KLOKE RD  CALEXICO 92231,32.68179,-115.51407
HOLTVILLE CITY HALL,121 5TH ST  HOLTVILLE 92250,32.8117,-115.38077
CALIPATRIA CITY HALL,125 N PARK ST  CALIPATRIA 92233,33.12655,-115.51606
CESAR CHAVEZ ELEMENTARY SCHOOL,1251 ZAPATA ST  CALEXICO 92231,32.68958,-115.47534
EL CENTRO CITY HALL,1275 MAIN ST  EL CENTRO 92243,32.79245,-115.56709
CENTRAL BAPTIST CHURCH,1290 S IMPERIAL AVE  EL CENTRO 92243,32.78267,-115.57019
WEST SHORES SENIOR CITIZENS CLUB,1375 BORREGO SALTON SEA WAY AVE F-22  SALTON SEA 92275,33.27307,-115.97671
OAKLEY SCHOOL,1401 B ST  BRAWLEY 92227,32.98402,-115.51889
DE ANZA SCHOOL,1530 S WATERMAN AVE  EL CENTRO 92243,32.77889,-115.57471
NEW LIFE ASSEMBLY,1720 E IMPERIAL AVE  CALEXICO 92231,32.68439,-115.49808
SEELEY ELEMENTARY SCHOOL,1812 RIO VISTA  SEELEY 92273,32.79464,-115.69149
DESERT GARDEN SCHOOL,1900 S 6TH ST D  EL CENTRO 92243,32.77702,-115.55741
KING ELEMENTARY SCH,1950 VILLA AVE  EL CENTRO 92243,32.80365,-115.57837
WESTMORLAND YOUTH HALL,200 W SECOND ST  WESTMORLAND 92281,33.03511,-115.62309
MEADOWS UNION SCHOOL,2059 BOWKER RD  EL CENTRO 92243,32.80035,-115.47537
ALEJANDRO RIVERA SENIOR APTS,2151 ROCKWOOD AVE  CALEXICO 92231,32.68792,-115.49575
UNITED METHODIST CHURCH,217 W 7TH ST  HOLTVILLE 92250,32.81502,-115.38181
LIONS CENTER,225 A ST  BRAWLEY 92227,32.98466,-115.53896
CALEXICO FAMILY APARTMENTS,2301 ANDRADE AVE  CALEXICO 92231,32.69261,-115.48317
IMPERIAL COUNTY VETERANS MEMORIAL HALL,247 S IMPERIAL AVE  IMPERIAL 92251,32.84608,-115.57035
CALWORKS,2895 S 4TH ST B  EL CENTRO 92243,32.76887,-115.55097
EL CENTRO COMMUNITY CENTER,375 S 1ST ST  EL CENTRO 92243,32.79031,-115.54382
BRAWLEY PUBLIC LIBRARY,400 MAIN ST  BRAWLEY 92227,32.97843,-115.53481
IMPERIAL BAPTIST CHURCH,401 W 14TH ST  IMPERIAL 92251,32.85413,-115.57395
GATEWAY CHURCH,4249 HWY 86 ST  BRAWLEY 92227,32.95932,-115.55169
CALEXICO NEIGHBORHOOD HOUSE HALL,426 E 4TH ST  CALEXICO 92231,32.66858,-115.4927
VALLEY CHRISTIAN CHURCH,431 W WALL ST  IMPERIAL 92251,32.82142,-115.57334
HEDRICK SCHOOL,550 S WATERMAN AVE  EL CENTRO 92243,32.7879,-115.57479
WESTERN AVE BAPTIST CHURCH,555 N WESTERN AVE  BRAWLEY 92227,32.9839,-115.5447
BRAWLEY SENIOR CENTER,575 J ST  BRAWLEY 92227,32.97454,-115.53233
BRAWLEY INN,575 W MAIN ST  BRAWLEY 92227,32.97885,-115.55138
CHRIST COMMUNITY CHURCH,590 W ORANGE AVE  EL CENTRO 92243,32.789,-115.55671
MAINS ELEMENTARY SCHOOL,655 SHERIDAN AVE  CALEXICO 92231,32.67839,-115.51
SAN PASQUAL USD,686 BASELINE RD  WINTERHAVEN 92283,32.75242,-114.59884
CORFMAN SCHOOL,701 W MC CABE RD  EL CENTRO 92243,32.75078,-115.59697
CALEXICO COMMUNITY CENTER,707 DOOL AVE  CALEXICO 92231,32.67224,-115.48682
HOLTVILLE MIDDLE SCHOOL,800 BEALE AVE  HOLTVILLE 92250,32.81657,-115.36906
MARIO ESQUER BLDG,850 EADY AVE  CALEXICO 92231,32.67647,-115.5104
CAMARENA LIBRARY,850 ENCINAS  CALEXICO 92231,32.67527,-115.48765
FIRST ASSEMBLY OF GOD,871 PARK AVE  EL CENTRO 92243,32.79556,-115.56339
GRACE SMITH SCHOOL,9 E 4TH ST  NILAND 92257,33.23762,-115.51737
County Election Dept,940 W Main St  El Centro 92243,32.79315,-115.56341
